id,fillKey,bodedgastatus
URY,horizontal-stripe,Not yet observed
UZB,horizontal-stripe,Not yet observed
VUT,horizontal-stripe,Not yet observed
VEN,horizontal-stripe,Not yet observed
VNM,horizontal-stripe,Not yet observed
VGB,horizontal-stripe,Not yet observed
VIR,horizontal-stripe,Not yet observed
WLF,horizontal-stripe,Not yet observed
ESH,horizontal-stripe,Not yet observed
YEM,horizontal-stripe,Not yet observed
ZMB,horizontal-stripe,Not yet observed
ZWE,horizontal-stripe,Not yet observed
